pagina,id,nombre,categoria,ubicacion,url
8,14015,COMPUVAL Insumos de Computación,computacion-informatica,computacion,https://guiarsanrafael.com.ar/empresa/compuval-insumos-de-computacion/
8,14027,DOLCEZZA Pastelería Artesanal,confiterias-reposteria,confiteria,https://guiarsanrafael.com.ar/empresa/dolcezza-pasteleria-artesanal/
8,14037,MARCIAL GIM,gimnasios-gym,gimnasios,https://guiarsanrafael.com.ar/empresa/marcial-gim/
8,14046,SUR GLASS Vidrios y Aluminio,aberturas,aberturas,https://guiarsanrafael.com.ar/empresa/sur-glass-vidrios-y-aluminio/
8,14064,JARDIN CORAL Plantas & Flores,jardineria,jardineria,https://guiarsanrafael.com.ar/empresa/jardin-coral-plantas-flores/
8,14082,IVAN LEMBO Mecánica GNC,mecanica-del-automotor-automotriz,mecanica-del-automotor,https://guiarsanrafael.com.ar/empresa/ivan-lembo-mecanica-gnc/
8,14090,GARCIA Moto Racing,mecanica-de-motos,mecanica-de-motos,https://guiarsanrafael.com.ar/empresa/garcia-moto-racing/
8,14117,INFINIT BOX Gim,gimnasios-gym,gimnasios,https://guiarsanrafael.com.ar/empresa/infinit-box-gim/
9,13743,BAZAR MAYOR Regalería & Accesorios,articulos-para-el-hogar-bazar,articulos-para-el-hogar,https://guiarsanrafael.com.ar/empresa/bazar-mayor/
9,13785,THE BIG BARBER,barberias-peluqueria-barberos,barberias,https://guiarsanrafael.com.ar/empresa/the-big-barber/
9,13818,CARDIO NOVA Instituto Cardiológico,cardiologia-medico-cardiologo,cardiologia,https://guiarsanrafael.com.ar/empresa/cardio-nova-instituto-cardiologico/
9,13819,LAURO A. CASTILLO,cardiologia-medico-cardiologo,cardiologia,https://guiarsanrafael.com.ar/empresa/lauro-a-castillo/
9,13835,RAWSON Negocios Inmobiliarios,administraciones-alquileres-inmobiliarias,administraciones,https://guiarsanrafael.com.ar/empresa/rawson-negocios-inmobiliarios/
9,13842,EL RAPIDO MOTOS,mecanica-de-motos,mecanica-de-motos,https://guiarsanrafael.com.ar/empresa/el-rapido-motos/
9,13860,HECATE Distibuidora Mayorista,decoracion,decoracion,https://guiarsanrafael.com.ar/empresa/hecate-distibuidora-mayorista/
9,13863,FULL CEL Telefonía y Accesorios,accesorios-de-telefonia-celular,accesorios-de-telefonia,https://guiarsanrafael.com.ar/empresa/full-cel-telefonia-y-accesorios/
9,13891,BUENA VIDA,barberias-peluqueria-barberos,barberias,https://guiarsanrafael.com.ar/empresa/buena-vida/
9,13965,TERRA Entrenamiento Deportivo,centro-de-rehabilitacion,centro-de-rehabilitacion,https://guiarsanrafael.com.ar/empresa/terra-entrenamiento-deportivo/
10,13436,Enfermería María Inés,enfermerias,enfermerias,https://guiarsanrafael.com.ar/empresa/enfermeria-maria-ines/
10,13474,PUESTO BIKE Bicicletería,bicicleterias,bicicleterias,https://guiarsanrafael.com.ar/empresa/puesto-bike-bicicleteria/
10,13481,ENCANTO FLORAL Florería,decoracion,decoracion,https://guiarsanrafael.com.ar/empresa/encanto-floral/
10,13529,LARA MENDOZA Grafologa,grafologia-grafoterapia-grafologa,grafologia,https://guiarsanrafael.com.ar/empresa/lara-mendoza-grafologa/
10,13535,COTILLON ARCO,cotillon,cotillon,https://guiarsanrafael.com.ar/empresa/cotillon-arco/
10,13575,ANDEMI Distribuidora,distribuidoras,distribuidoras,https://guiarsanrafael.com.ar/empresa/andemi-distribuidora/
10,13593,MAS COLOR  Pinturería,pintura-del-automotor-taller,pintura-del-automotor,https://guiarsanrafael.com.ar/empresa/mas-color-pintureria/
10,13607,MARIANO LOPEZ,pediatria-neonatologia,pediatria-y-neonatologia,https://guiarsanrafael.com.ar/empresa/mariano-lopez/
10,13690,REHACTIVA Instituto Terapéutico de Rehabilitación,centro-de-rehabilitacion,centro-de-rehabilitacion,https://guiarsanrafael.com.ar/empresa/rehactiva-instituto-terapeutico-de-rehabilitacion-2/
10,13691,REHACTIVA Instituto Terapéutico de Rehabilitación,centro-de-rehabilitacion,centro-de-rehabilitacion,https://guiarsanrafael.com.ar/empresa/rehactiva-instituto-terapeutico-de-rehabilitacion/
11,13300,MAYA CORNEJO,psicologia,psicologia,https://guiarsanrafael.com.ar/empresa/maya-cornejo/
11,13317,NEUMATICOS SAN JOSE,alineacion-y-balanceo,alineacion-y-balanceo,https://guiarsanrafael.com.ar/empresa/neumaticos-san-jose/
11,13332,FERRETERIA MOYA,ferreterias-herramientas,ferreterias,https://guiarsanrafael.com.ar/empresa/ferreteria-moya/
11,13349,MATERVI Productos y Servicios,alimentos-balanceados,alimentos-balanceados,https://guiarsanrafael.com.ar/empresa/matervi-productos-y-servicios/
11,13360,CARNICERIA GUSTAVO,carnicerias,carniceria,https://guiarsanrafael.com.ar/empresa/carniceria-gustavo/
11,13378,HUELE A LIMPIO,articulos-de-limpieza-todo-suelto,articulos-de-limpieza,https://guiarsanrafael.com.ar/empresa/huele-a-limpio/
11,13388,CYCLES CHARLY,bicicleterias,bicicleterias,https://guiarsanrafael.com.ar/empresa/cycles-charly/
11,13389,CYCLES CARLY II,bicicleterias,bicicleterias,https://guiarsanrafael.com.ar/empresa/cycles-carly-ii/
